Домашняя команда,Гостевая команда,Дата,Стадион,Город,home_score,guest_score
Кристал,Пэлас,05.08.2022,Селхерст Парк,Лондон,0,2
Фулхэм,Ливерпуль,06.08.2022,Крэйвен Коттедж,Лондон,2,2
Борнмут,Астон,06.08.2022,Виталити - Дин Корт,Борнмут,2,0
Лидс,Юнайтед,06.08.2022,Элланд Роуд,Лидс,2,1
Ньюкасл,Юнайтед,06.08.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,2,0
Тоттенхэм,Хотспур,06.08.2022,Тоттенхэм Хотспур,Лондон,4,1
Эвертон,Челси,06.08.2022,Гудисон Парк,Ливерпуль,0,1
Лестер,Сити,07.08.2022,Кинг Пауэр,Лестер,2,2
Манчестер,Юнайтед,07.08.2022,Олд Траффорд,Манчестер,1,2
Вест,Хэм,07.08.2022,Олимпийский,Лондон,0,2
Астон,Вилла,13.08.2022,Вилла Парк,Бирмингем,2,1
Арсенал,Лестер,13.08.2022,Эмирейтс - Эшбертон Гроув,Лондон,4,2
Брайтон,Хоув,13.08.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,0,0
Манчестер,Сити,13.08.2022,Этихад (Сити оф Манчестер),Манчестер,4,0
Саутгемптон,Лидс,13.08.2022,Сент-Мэри,Саутгемптон,2,2
Вулверхэмптон,Фулхэм,13.08.2022,Молине,Вулверхэмптон,0,0
Брентфорд,Манчестер,13.08.2022,Брентфорд Коммьюнити,Брентфорд,4,0
Ноттингем,Форест,14.08.2022,Сити Граунд,Ноттингем,1,0
Челси,Тоттенхэм,14.08.2022,Стэмфорд Бридж,Лондон,2,2
Ливерпуль,Кристал,15.08.2022,Энфилд,Ливерпуль,1,1
Тоттенхэм,Хотспур,20.08.2022,Тоттенхэм Хотспур,Лондон,1,0
Кристал,Пэлас,20.08.2022,Селхерст Парк,Лондон,3,1
Эвертон,Ноттингем,20.08.2022,Гудисон Парк,Ливерпуль,1,1
Фулхэм,Брентфорд,20.08.2022,Крэйвен Коттедж,Лондон,3,2
Лестер,Сити,20.08.2022,Кинг Пауэр,Лестер,1,2
Борнмут,Арсенал,20.08.2022,Виталити - Дин Корт,Борнмут,0,3
Лидс,Юнайтед,21.08.2022,Элланд Роуд,Лидс,3,0
Вест,Хэм,21.08.2022,Олимпийский,Лондон,0,2
Ньюкасл,Юнайтед,21.08.2022,Сент-Джеймс Парк,Ньюкасл-апон-Тайн,3,3
Манчестер,Юнайтед,22.08.2022,Олд Траффорд,Манчестер,2,1
Саутгемптон,Манчестер,27.08.2022,Сент-Мэри,Саутгемптон,0,1
Брентфорд,Эвертон,27.08.2022,Брентфорд Коммьюнити,Брентфорд,1,1
Брайтон,Хоув,27.08.2022,Фалмер - Зе Амекс,Брайтон энд Хоув,1,0
Челси,Лестер,27.08.2022,Стэмфорд Бридж,Лондон,2,1
Ливерпуль,Борнмут,27.08.2022,Энфилд,Ливерпуль,9,0
Манчестер,Сити,27.08.2022,Этихад (Сити оф Манчестер),Манчестер,4,2
Арсенал,Фулхэм,27.08.2022,Эмирейтс - Эшбертон Гроув,Лондон,2,1
Астон,Вилла,28.08.2022,Вилла Парк,Бирмингем,0,1
Вулверхэмптон,Ньюкасл,28.08.2022,Молине,Вулверхэмптон,1,1
Ноттингем,Форест,28.08.2022,Сити Граунд,Ноттингем,0,2
Фулхэм,Брайтон,30.08.2022,Крэйвен Коттедж,Лондон,2,1
Кристал,Пэлас,30.08.2022,Селхерст Парк,Лондон,1,1
Саутгемптон,Челси,30.08.2022,Сент-Мэри,Саутгемптон,2,1
Лидс,Юнайтед,30.08.2022,Элланд Роуд,Лидс,1,1
Борнмут,Вулверхэмптон,31.08.2022,Виталити - Дин Корт,Борнмут,0,0
