Игроки
Команда,Игрок,Позиция,Рост
Manchester United,David de Gea,Goalkeeper,192cm
Manchester United,Tom Heaton,Goalkeeper,188cm
Manchester United,Tom Heaton,Goalkeeper,188cm
Manchester United,Nathan Bishop,Goalkeeper,185cm
Manchester United,Jack Butland,Goalkeeper,196cm
Manchester United,Victor Lindelöf,Defender,187cm
Manchester United,Phil Jones,Defender,180cm
Manchester United,Harry Maguire,Defender,194cm
Manchester United,Raphaël Varane,Defender,191cm
Manchester United,Diogo Dalot,Defender,183cm
Manchester United,Luke Shaw,Defender,185cm
Manchester United,Aaron Wan-Bissaka,Defender,183cm
Manchester United,Tyrell Malacia,Defender,170cm
Manchester United,Lisandro Martínez,Defender,175cm
Manchester United,Marc Jurado,Defender,178cm
Manchester United,Marc Jurado,Defender,178cm
Manchester United,Brandon Williams,Defender,171cm
Manchester United,Fred,Midfielder,169cm
Manchester United,Bruno Fernandes,Midfielder,179cm
Manchester United,Scott McTominay,Midfielder,193cm
Manchester United,Facundo Pellistri,Midfielder,175cm
Manchester United,Donny van de Beek,Midfielder,184cm
Manchester United,Christian Eriksen,Midfielder,182cm
Manchester United,Casemiro,Midfielder,185cm
Manchester United,Zidane Iqbal,Midfielder,181cm
Manchester United,Kobbie Mainoo,Midfielder,175cm
Manchester United,Marcel Sabitzer,Midfielder,178cm
Manchester United,Alejandro Garnacho,Forward,180cm
Manchester United,Marcus Rashford,Forward,180cm
Manchester United,Jadon Sancho,Forward,180cm
Manchester United,Anthony Elanga,Forward,178cm
Manchester United,Anthony Martial,Forward,181cm
Manchester United,Antony,Forward,174cm
Manchester United,Wout Weghorst,Forward,197cm
Leeds United,Illan Meslier,Goalkeeper,197cm
Leeds United,Kristoffer Klaesson,Goalkeeper,189cm
Leeds United,Kristoffer Klaesson,Goalkeeper,189cm
Leeds United,Joel Robles,Goalkeeper,195cm
Leeds United,Joel Robles,Goalkeeper,195cm
Leeds United,Luke Ayling,Defender,185cm
Leeds United,Junior Firpo,Defender,184cm
Leeds United,Robin Koch,Defender,192cm
Leeds United,Liam Cooper,Defender,180cm
Leeds United,Pascal Struijk,Defender,190cm
Leeds United,Stuart Dallas,Defender,183cm
Leeds United,Rasmus Kristensen,Defender,187cm
Leeds United,Rasmus Kristensen,Defender,187cm
Leeds United,Maximilian Wöber,Defender,188cm
Leeds United,Maximilian Wöber,Defender,188cm
Leeds United,Diogo Monteiro,Defender,184cm
Leeds United,Diogo Monteiro,Defender,184cm
Leeds United,Adam Forshaw,Midfielder,174cm
Leeds United,Jack Harrison,Midfielder,175cm
Leeds United,Crysencio Summerville,Midfielder,174cm
Leeds United,Brenden Aaronson,Midfielder,178cm
Leeds United,Marc Roca,Midfielder,184cm
Leeds United,Darko Gyabi,Midfielder,196cm
Leeds United,Tyler Adams,Midfielder,173cm
Leeds United,Tyler Adams,Midfielder,173cm
Leeds United,Amari Miller,Midfielder,174cm
Leeds United,Amari Miller,Midfielder,174cm
Leeds United,Amari Miller,Midfielder,174cm
Leeds United,Amari Miller,Midfielder,174cm
Leeds United,Weston McKennie,Midfielder,183cm
Leeds United,Patrick Bamford,Forward,185cm
Leeds United,Rodrigo,Forward,182cm
Leeds United,Sam Greenwood,Forward,185cm
Leeds United,Luis Sinisterra,Forward,172cm
Leeds United,Sonny Perkins,Forward,178cm
Leeds United,Wilfried Gnonto,Forward,172cm
Leeds United,Wilfried Gnonto,Forward,172cm
Leeds United,Georginio Rutter,Forward,182cm
Arsenal,Aaron Ramsdale,Goalkeeper,188cm
Arsenal,Matt Turner,Goalkeeper,191cm
Arsenal,Karl Hein,Goalkeeper,193cm
Arsenal,Karl Hein,Goalkeeper,193cm
Arsenal,Kieran Tierney,Defender,178cm
Arsenal,Ben White,Defender,186cm
