Город	Месяц	Название месяца	Дневная температура	Дождь	Осадки
Борнмут	1	Январь	+10°C	7	(89.5мм)
Борнмут	2	Февраль	+10.8°C	6	(65.4мм)
Борнмут	3	Март	+11.5°C	3	(33.0мм)
Борнмут	4	Апрель	+13°C	5	(50.8мм)
Борнмут	5	Май	+15.5°C	6	(48.5мм)
Борнмут	6	Июнь	+18.5°C	4	(51.8мм)
Борнмут	7	Июль	+21.5°C	3	(62.6мм)
Борнмут	8	Август	+21°C	4	(66.7мм)
Борнмут	9	Сентябрь	+20.5°C	3	(36.6мм)
Борнмут	10	Октябрь	+17°C	6	(84.8мм)
Борнмут	11	Ноябрь	+13.2°C	6	(80.5мм)
Борнмут	12	Декабрь	+8.8°C	6	(97.3мм)
Лидс	1	Январь	+6.2°C	3	(49.8мм)
Лидс	2	Февраль	+7°C	4	(39.9мм)
Лидс	3	Март	+12.2°C	1	(30.7мм)
Лидс	4	Апрель	+15.5°C	2	(40.7мм)
Лидс	5	Май	+16.5°C	6	(74.9мм)
Лидс	6	Июнь	+18.5°C	6	(74.3мм)
Лидс	7	Июль	+23.5°C	8	(82.9мм)
Лидс	8	Август	+18.5°C	7	(73.0мм)
Лидс	9	Сентябрь	+19.8°C	4	(35.2мм)
Лидс	10	Октябрь	+14.5°C	5	(54.7мм)
Лидс	11	Ноябрь	+10°C	3	(50.5мм)
Лидс	12	Декабрь	+7°C	5	(69.0мм)
Ньюкасл-апон-Тайн	1	Январь	+5.7°C	1	(18.90мм)
Ньюкасл-апон-Тайн	2	Февраль	+6.6°C	1	(13.88мм)
Ньюкасл-апон-Тайн	3	Март	+8.5°C	1	(14.97мм)
Ньюкасл-апон-Тайн	4	Апрель	+11.0°C	1	(11.87мм)
Ньюкасл-апон-Тайн	5	Май	+13.5°C	1	(17.25мм)
Ньюкасл-апон-Тайн	6	Июнь	+16.2°C	1	(21.43мм)
Ньюкасл-апон-Тайн	7	Июль	+18.3°C	1	(30.23мм)
Ньюкасл-апон-Тайн	8	Август	+18.0°C	1	(29.25мм)
Ньюкасл-апон-Тайн	9	Сентябрь	+16.0°C	1	(18.36мм)
Ньюкасл-апон-Тайн	10	Октябрь	+12.9°C	1	(23.98мм)
Ньюкасл-апон-Тайн	11	Ноябрь	+9.1°C	1	(30.20мм)
Ньюкасл-апон-Тайн	12	Декабрь	+6.5°C	1	(20.68мм)
Лестер	1	Январь	+5.6°C	1	(19.81мм)
Лестер	2	Февраль	+6.7°C	1	(17.65мм)
Лестер	3	Март	+9.5°C	1	(14.89мм)
Лестер	4	Апрель	+12.7°C	1	(15.32мм)
Лестер	5	Май	+15.3°C	1	(26.40мм)
Лестер	6	Июнь	+18.0°C	1	(25.36мм)
Лестер	7	Июль	+20.5°C	1	(28.47мм)
Лестер	8	Август	+19.8°C	1	(27.30мм)
Лестер	9	Сентябрь	+17.6°C	1	(13.73мм)
Лестер	10	Октябрь	+13.9°C	1	(22.68мм)
Лестер	11	Ноябрь	+9.3°C	1	(20.54мм)
Лестер	12	Декабрь	+6.6°C	1	(29.03мм)
Брайтон	1	Январь	+7.4°C	1	(37.07мм)
Брайтон	2	Февраль	+7.4°C	1	(30.33мм)
Брайтон	3	Март	+9.5°C	1	(20.55мм)
Брайтон	4	Апрель	+12.2°C	1	(19.97мм)
Брайтон	5	Май	+14.6°C	1	(26.81мм)
Брайтон	6	Июнь	+17.5°C	1	(25.46мм)
Брайтон	7	Июль	+19.7°C	1	(29.04мм)
Брайтон	8	Август	+19.6°C	1	(29.02мм)
Брайтон	9	Сентябрь	+17.9°C	1	(23.01мм)
Брайтон	10	Октябрь	+15.1°C	1	(34.59мм)
Брайтон	11	Ноябрь	+11.3°C	1	(49.46мм)
Брайтон	12	Декабрь	+8.9°C	1	(45.86мм)
Саутгемптон	1	Январь	+7.4°C	1	(35.30мм)
Саутгемптон	2	Февраль	+7.7°C	1	(33.35мм)
Саутгемптон	3	Март	+10.2°C	1	(21.59мм)
Саутгемптон	4	Апрель	+13.1°C	1	(22.60мм)
Саутгемптон	5	Май	+15.6°C	1	(28.86мм)
Саутгемптон	6	Июнь	+18.6°C	1	(25.89мм)
Саутгемптон	7	Июль	+20.7°C	1	(29.61мм)
Саутгемптон	8	Август	+20.0°C	1	(28.41мм)
Саутгемптон	9	Сентябрь	+18.3°C	1	(19.24мм)
Саутгемптон	10	Октябрь	+15.1°C	1	(37.27мм)
Саутгемптон	11	Ноябрь	+11.0°C	1	(47.50мм)
Саутгемптон	12	Декабрь	+8.6°C	1	(49.26мм)
Уольверхэмптон	1	Январь	+5.7°C	1	(23.65мм)
Уольверхэмптон	2	Февраль	+6.7°C	1	(18.15мм)
Уольверхэмптон	3	Март	+9.5°C	1	(14.36мм)
Уольверхэмптон	4	Апрель	+12.5°C	1	(14.84мм)
Уольверхэмптон	5	Май	+15.2°C	1	(21.16мм)
Уольверхэмптон	6	Июнь	+17.9°C	1	(23.18мм)
Уольверхэмптон	7	Июль	+20.0°C	1	(24.22мм)
Уольверхэмптон	8	Август	+19.1°C	1	(22.89мм)
Уольверхэмптон	9	Сентябрь	+17.1°C	1	(16.03мм)
Уольверхэмптон	10	Октябрь	+13.7°C	1	(22.53мм)
Уольверхэмптон	11	Ноябрь	+9.2°C	1	(27.21мм)
Уольверхэмптон	12	Декабрь	+6.7°C	1	(24.37мм)
Брэдфорд	1	Январь	+4.6°C	1	(29.51мм)
Брэдфорд	2	Февраль	+5.5°C	1	(22.34мм)
Брэдфорд	3	Март	+8.1°C	1	(21.49мм)
Брэдфорд	4	Апрель	+11.2°C	1	(19.19мм)
Брэдфорд	5	Май	+13.8°C	1	(27.35мм)
Брэдфорд	6	Июнь	+16.6°C	1	(29.92мм)
Брэдфорд	7	Июль	+18.3°C	1	(33.96мм)
Брэдфорд	8	Август	+17.6°C	1	(28.36мм)
Брэдфорд	9	Сентябрь	+15.6°C	1	(21.52мм)
Брэдфорд	10	Октябрь	+12.3°C	1	(31.64мм)
Брэдфорд	11	Ноябрь	+8.0°C	1	(37.56мм)
Брэдфорд	12	Декабрь	+5.6°C	1	(40.04мм)
Ноттингем	1	Январь	+5.7°C	8	(9.92мм)
Ноттингем	2	Февраль	+6.7°C	7	(8.59мм)
Ноттингем	3	Март	+9.6°C	8	(7.71мм)
Ноттингем	4	Апрель	+12.8°C	9	(6.26мм)
Ноттингем	5	Май	+15.4°C	1	(9.55мм)
Ноттингем	6	Июнь	+18.1°C	1	(12.96мм)
Ноттингем	7	Июль	+20.5°C	1	(11.75мм)
Ноттингем	8	Август	+19.9°C	1	(13.54мм)
